COMID,CatAreaSqKm,WsAreaSqKm,CatPctFull,WsPctFull,BFICat,BFIWs
5598516,0.2313,46.3518,100.0,100.0,47.0,47.645
5422779,1.1205,7.3305,100.0,100.0,58.0,58.0
5597114,0.1458,542.4777,100.0,100.0,39.0,38.9802
5599012,0.5076,0.5076,100.0,100.0,48.0,48.0
5596962,0.1413,2571.1407,100.0,100.0,48.1083,42.9658
5597312,0.1422,774.6984,100.0,100.0,39.0,44.429
5596608,3.6882,3.6882,100.0,100.0,48.919,48.919
5596326,0.4014,61.308,100.0,100.0,44.0,46.002
5597382,2.7405,2.7405,100.0,100.0,39.4772,39.4772
5425027,5.8491,5.8491,100.0,100.0,53.6107,53.6107
5596362,2.1906,72.7821,100.0,100.0,47.0,47.2865
5596596,14.6547,127.9827,100.0,100.0,38.56,40.8263
5424801,2.8998,2.8998,100.0,100.0,54.9935,54.9935
5598876,0.531,55.2069,100.0,100.0,45.0,46.3163
5596900,1.2969,1.2969,100.0,100.0,44.0361,44.0361
5598818,0.9585,9.8811,100.0,100.0,45.0,46.5681
940120113,0.6894,0.6894,100.0,100.0,55.0,55.0
5424849,1.5093,1.5093,100.0,100.0,53.0,53.0
5595696,0.0315,4.3083,100.0,100.0,38.0,38.0623
5424743,1.0377,3.2805,100.0,100.0,52.1865,53.6241
5596344,1.5003,61.0605,100.0,100.0,47.94,47.9948
940120112,0.6975,0.6975,100.0,100.0,55.0,55.0
5598900,1.6272,45.8991,100.0,100.0,45.4392,46.766
5424187,0.8622,1.7856,100.0,100.0,59.0,58.8508
5424893,0.6516,11.3724,100.0,100.0,53.0,53.0
5596316,10.7784,10.7784,100.0,100.0,48.0,48.0
5425165,2.4147,6.5601,100.0,100.0,59.2639,59.0118
5424781,0.2439,3.4767,100.0,100.0,51.2288,52.8439
5598506,0.171,36.1917,100.0,100.0,47.0,47.5761
5597756,3.6657,8.5401,100.0,100.0,37.5149,37.221
5423085,0.7101,3.7467,100.0,100.0,57.0,56.9769
5422797,3.7899,3.7899,100.0,100.0,57.9193,57.9193
5596180,0.4644,73.2726,100.0,100.0,48.688,48.9923
5596124,0.8901,272.7495,100.0,100.0,40.0,46.0221
5423867,0.5544,6.4278,100.0,100.0,58.0,58.0
5595692,1.539,1.539,100.0,100.0,38.0,38.0
5595924,1.5723,1.5723,100.0,100.0,39.0,39.0
5425817,0.0513,36.2349,100.0,100.0,47.0,50.1969
5424687,0.4158,10.0107,100.0,100.0,52.0,53.1846
5597194,5.8338,550.08,100.0,100.0,39.0,38.9804
5425193,2.0808,2.0808,100.0,100.0,58.7232,58.7232
5596652,0.8352,32.9616,100.0,100.0,39.0,39.2363
5423997,2.7297,2.7297,100.0,100.0,54.7583,54.7583
5425277,1.9998,1.9998,100.0,100.0,58.4397,58.4397
5596958,0.1152,2578.3074,100.0,100.0,49.0,42.9754
5596140,5.1984,184.842,100.0,100.0,47.2071,48.3644
5423959,3.7926,3.7926,100.0,100.0,58.0,58.0
5596924,1.9323,1.9323,100.0,100.0,48.4374,48.4374
5597396,0.6444,733.0518,100.0,100.0,40.0,44.7277
5422261,1.0674,1.0674,100.0,100.0,61.0,61.0
5423511,0.6606,2.4462,100.0,100.0,59.0,58.8911
5424233,4.8537,3722.9715,100.0,100.0,51.6588,43.3134
5597184,0.1935,0.1935,100.0,100.0,38.0,38.0
5595802,1.2132,2.5434,100.0,100.0,38.9636,38.9827
